,names,spec
453,Bournonite,Powder
454,Almandine,Powder
455,Dravite,Powder
456,Fluorite,Powder
457,Fluorapatite,Powder
458,Manganogrunerite,Powder
459,Masutomilite,Powder
460,Umangite,"Powder, using Mo radiation"
461,Riebeckite,Powder
462,Carrollite,Powder
463,Aubertite,Powder
464,Hubnerite,Powder
465,Bastnasite-(Ce),Powder
466,Gratonite,Powder
467,Andradite,Powder
468,Triplite,Powder
469,Cyanotrichite,"Powder, using Mo radiation"
470,Adamite,Powder
471,Vesuvianite,Powder
472,Augelite,Powder
473,Grossular,Powder
474,Bannisterite,Powder
475,Olmiite,Powder
476,Powellite,Powder
477,Sodalite,Powder
478,Botryogen,Powder
479,Sphalerite,Powder
480,Euclase,Powder
481,Pyromorphite,Powder
482,Magadiite,Powder
483,Sulphohalite,Powder
484,Pargasite,Powder
485,Carlosturanite,Powder
486,Andalusite,Powder
487,Calcite,Powder
488,Actinolite,"Powder, additionally shows small amount of chlorite"
489,Natrodufrenite,Powder
490,Triphylite,Powder
491,Anorthite,Powder
492,Fluor-uvite,Powder
493,Northupite,Powder
494,Hubnerite,Powder
495,Ilvaite,Powder
496,Shortite,Powder
497,Liroconite,Powder
498,Magnesite,Powder
499,Fluorapatite,Powder
500,Zykaite,Powder
501,Thaumasite,Powder
502,Fluorcalciopyrochlore,Powder
503,Livingstonite,Powder
504,Ferro-actinolite,Powder
505,Roeblingite,Powder
506,Gmelinite-Na,Powder
507,Pyrophyllite,Powder
508,Halotrichite,Powder
509,Polylithionite,"Powder, with trace corundum contamination from the grinding process"
510,K3Fe(CN)5NO,Powder
511,Dawsonite,Powder
512,Enstatite,Powder
513,Graphite,Powder
514,Gersdorffite,Powder
515,Mellite,Powder
516,Pentlandite,Powder
517,Brochantite,Powder
518,Montmorillonite,Powder
519,Stromeyerite,Powder
520,Thaumasite,Powder
521,Corundum,Powder
522,Lizardite,Powder
523,Rutile,Powder
524,Willemite,Powder
525,Gmelinite-Na,"Powder, mixed with chabazite; a: 13.7815(4) c: 15.0380(7)"
526,Boleite,Powder
527,Bastnasite-(Ce),Powder
528,Andradite,Powder
529,Delhayelite,Powder
530,Axinite-(Fe),Powder
531,Magnesio-hastingsite,Powder
532,Serendibite,Powder
533,Digenite,Powder
534,Tellurium,Powder
535,Kernite,Powder
536,Tremolite,Powder
537,Sphalerite,Powder
538,Amarantite,Powder
539,Chlorartinite,"Powder, mixed with aragonite"
540,Corundum,Powder
541,Alum-(K),Powder
542,Scheelite,Powder
543,Chalcopyrite,Powder
544,Magnetite,Powder
545,Struvite,Powder
546,Krohnkite,Powder
547,Russellite,Powder
548,Rutile,Powder
549,Akermanite,Powder
550,Reedmergnerite,Powder
551,Chkalovite,Powder
552,Tantalite-(Mn),Powder
553,Columbite-(Fe),Powder
554,Muscovite,Powder
555,Proto-ferro-anthophyllite,Powder
556,Catapleiite,Powder
557,Pyrite,Powder
558,Grossular,Powder
559,Brookite,Powder
560,Sodalite,Powder
561,Heulandite-Ca,Powder
562,Boussingaultite,Powder
563,Epidote,Powder
564,Valentinite,Powder
565,Trilithionite,Powder
566,Olmiite,Powder
567,Pectolite,Powder
568,Tremolite,Powder
569,Sanbornite,Powder
570,Descloizite,Powder
571,Magnesiochromite,Powder
572,Phosphosiderite,"Powder, using Mo radiation"
573,Silver,Hammered into thin foil
574,Orthoclase,Powder
575,Antlerite,Powder
576,Dolomite,Powder
577,Almandine,Powder
578,Trona,Powder
579,Pyrolusite,Powder
580,Muscovite,Powder
581,Inyoite,Powder
582,Artinite,Powder
583,Bukovskyite,Powder
584,Kidwellite,Powder
585,Yttrotantalite-(Y),Powder
586,Jeremejevite,Powder
587,Dickite,"Powder, mixed with quartz"
588,Braitschite-(Ce),"Powder, using Mo radiation"
589,Poughite,"Powder, using Mo radiation"
590,Pyrosmalite-(Fe),Powder
591,Proto-ferro-suenoite,Powder
592,Tourmaline,Powder
593,Dravite,Powder
594,Brazilianite,Powder
595,Glaucophane,Powder
596,Meionite,Powder
597,Poughite,"Powder, using Mo radiation"
598,Rhodochrosite,Powder
599,Baryte,Powder
600,Montebrasite,Powder
601,Calcurmolite,"Powder, using Mo radiation"
602,Rammelsbergite,Powder
603,Sanidine,Powder
604,Brewsterite-Sr,Powder
605,Paragonite,Powder
606,Anorthite,Powder
607,Strontianite,Powder
608,Acanthite,Powder
609,Dolomite,Powder
610,Stellerite,"Powder, mixed with chabazite"
611,Magnesio-fluoro-arfvedsonite,Powder
612,Sulphur,Powder
613,Nickeline,Powder
614,Marialite,Powder
615,Kaliborite,Powder
616,Muscovite,Powder
617,Renierite,Powder
618,Trona,Powder
619,Tremolite,Powder
620,Elpidite,Powder
